candidate_id,entry_time_utc,exit_time_utc,year,month,direction,entry_price,exit_price,gross_bps,stress_net_bps,entry_spread_cost_bps,h1_range_bps,h1_threshold_bps
S49_MTF_H1W72_P75_M15S40_M5S20_H12,2022-05-05T15:00:00Z,2022-05-05T16:00:00Z,2022,2022-05,SHORT,1883.81,1874.22,50.907469436938534,47.92546570378481,2.6541954868059943,66.11666648993153,35.08961534028398
S49_MTF_H1W120_P75_M15S20_M5S20_H12,2022-05-09T09:00:00Z,2022-05-09T10:00:00Z,2022,2022-05,SHORT,1866.02,1862.87,16.880848008060422,13.8988442749067,2.6794996838190372,42.40377398949331,35.02723837904509
S49_MTF_H1W120_P75_M15S20_M5S20_H12,2022-05-09T11:00:00Z,2022-05-09T12:00:00Z,2022,2022-05,SHORT,1858.41,1861.29,-15.497118504527428,-18.47912223768115,2.690471962591678,42.59323993654076,35.02723837904509
S49_MTF_H1W120_P75_M15S20_M5S20_H12,2022-05-09T13:00:00Z,2022-05-09T14:00:00Z,2022,2022-05,LONG,1867.03,1864.24,-14.943519922014984,-17.925523655168707,2.6780501652356956,51.118930632737424,35.99916671497577
S49_MTF_H1W120_P75_M15S20_M5S20_H12,2022-05-09T15:00:00Z,2022-05-09T16:00:00Z,2022,2022-05,SHORT,1861.57,1859.9,8.970922393462752,5.9889186603090305,2.6859049082226294,45.690818295678724,36.460619122989556
S49_MTF_H1W120_P75_M15S20_M5S20_H12,2022-05-09T18:00:00Z,2022-05-09T19:00:00Z,2022,2022-05,SHORT,1857.26,1854.54,14.645230070103416,11.663226336949695,2.6921378805336893,38.36392928536346,36.79513700397965
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-05T02:00:00Z,2022-05-05T03:00:00Z,2022,2022-05,LONG,1900.67,1900.96,1.5257777520556626,-1.4562259810980593,2.6306512966480238,39.41296260241324,34.41870522979025
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-05T08:00:00Z,2022-05-05T09:00:00Z,2022,2022-05,SHORT,1892.1,1894.0,-10.041752550077115,-13.023756283230837,2.642566460546483,34.724054587481156,33.879271939765204
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-05T13:00:00Z,2022-05-05T14:00:00Z,2022,2022-05,LONG,1906.65,1891.81,-77.83284818923319,-80.81485192238691,2.622400545459313,65.71494503650233,34.41870522979025
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-05T14:00:00Z,2022-05-05T15:00:00Z,2022,2022-05,SHORT,1891.81,1883.81,42.28754473229341,39.30554099913969,2.6429715457683383,81.69641443514433,34.62869714643586
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-05T15:00:00Z,2022-05-05T16:00:00Z,2022,2022-05,SHORT,1883.81,1874.22,50.907469436938534,47.92546570378481,2.6541954868059943,66.11666648993153,35.08961534028398
